lurralde eremua;2019
Euskal AE;2188017
Araba/Álava;327967
Bizkaia;1142853
Gipuzkoa;717197
Arabako Ibarrak / Valles Alaveses;6099
Arabako Lautada / Llanada Alavesa;263710
Arabako Mendialdea / Montaña Alavesa;3009
Arratia Nerbioi / Arratia-Nervión;23932
Bidasoa Beherea / Bajo Bidasoa;76836
Bilbo Handia / Gran Bilbao;858236
Debabarrena / Bajo Deba;55686
Debagoiena / Alto Deba;63170
Donostialdea / Donostia-San Sebastián;327428
Durangaldea / Duranguesado;99557
Enkartazioak / Encartaciones;31911
Errioxa Arabarra;11545
Gernika-Bermeo;45877
Goierri;68407
Gorbeia Inguruak / Estribaciones del Gorbea;8813
Kantauri Arabarra / Cantábrica Alavesa;34791
Markina-Ondarroa;26220
Plentzia-Mungia;57120
Tolosaldea/Tolosa;49251
Urola-Kostaldea / Urola Costa;76419
Abadiño;7695
Abaltzisketa;328
Abanto y Ciervana-Abanto Zierbena;9476
Aduna;480
Agurain/Salvatierra;5296
Aia;1998
Aizarnazabal;763
Ajangiz;453
Albiztur;296
Alegia;1751
Alegría-Dulantzi;3075
Alkiza;346
Alonsotegi;2852
Altzaga;188
Altzo;367
Amezketa;907
Amorebieta-Etxano;19119
Amoroto;409
Amurrio;10419
Andoain;14945
Anoeta;2036
Antzuola;2201
Añana;186
Arakaldo;167
Arama;202
Aramaio;1506
Arantzazu;377
Areatza;1215
Aretxabaleta;7098
Armiñon;223
Arraia-Maeztu;732
Arrankudiaga;1019
Arrasate/Mondragon;22058
Arratzu;415
Arratzua-Ubarrundia;1033
Arrieta;566
Arrigorriaga;11882
Artea;722
Artzentales;692
Artziniega;1922
Asparrena;1609
Asteasu;1550
Astigarraga;6180
Ataun;1745
Atxondo;1414
Aulesti;665
Ayala/Aiara;2901
Azkoitia;11989
Azpeitia;15055
Bakio;2639
Baliarrain;151
Balmaseda;7595
Baños de Ebro/Mañueta;323
Barakaldo;98497
Barrika;1528
Barrundia;945
Basauri;40711
Beasain;13969
Bedia;1054
Beizama;120
Belauntza;258
Berango;7230
Berantevilla;488
Berastegi;1053
Bergara;15004
Bermeo;16880
Bernedo;517
Berriatua;1251
Berriz;4701
Berrobi;613
Bidania-Goiatz;557
Bilbao;343430
Busturia;1607
Campezo/Kanpezu;1066
Deba;5445
Derio;6472
Dima;1431
Donostia / San Sebastian;181652
Durango;29436
Ea;848
Eibar;27246
Elantxobe;362
Elburgo/Burgelu;627
Elciego;1038
Elduain;250
Elgeta;1139
Elgoibar;11585
Elorrio;7441
Elvillar/Bilar;355
Erandio;24297
Ereño;264
Ermua;16039
Errenteria;40141
Errezil;628
Erriberagoitia/Ribera Alta;836
Errigoiti;484
Eskoriatza;4065
Etxebarri;11338
Etxebarria;751
Ezkio-Itsaso;644
Forua;916
Fruiz;543
Gabiria;506
Gaintza;119
Galdakao;29389
Galdames;836
Gamiz-Fika;1374
Garai;324
Gatika;1648
