Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea;
Biztanleria;Zenbat biztanle ditu Cascante udalerriak?;https://upload.wikimedia.org/wikipedia/commons/c/c2/Cascante_-_Iglesia_de_La_Victoria.JPG;3864;4180;76049;Wikipedia;https://eu.wikipedia.org/wiki/Cascante;MikelBa;
Biztanleria;Zenbat biztanle ditu Lezo udalerriak?;https://upload.wikimedia.org/wikipedia/commons/e/e4/Lezo_-_Gurutze_Santuaren_Plaza_5.jpg;6122;792;411;Wikipedia;https://eu.wikipedia.org/wiki/Lezo;MikelBa;
Biztanleria;Zenbat biztanle ditu Bedia udalerriak?;https://upload.wikimedia.org/wikipedia/commons/f/fb/Bilboraino_doan_tren_bat%2C_Barroeta_auzotik_pasatzen.jpeg;1067;5346;4960;Wikipedia;https://eu.wikipedia.org/wiki/Bedia;MikelBa;
Biztanleria;Zenbat biztanle ditu Oko udalerriak?;https://upload.wikimedia.org/wikipedia/commons/6/6a/Oco_01.jpg;77;10;79;Wikipedia;https://eu.wikipedia.org/wiki/Oko;MikelBa;
Biztanleria;Zenbat biztanle ditu Fustiñana udalerriak?;https://upload.wikimedia.org/wikipedia/commons/f/f0/Grupo_de_molinos_en_parque_fusti%C3%B1ana.JPG;2490;9489;146;Wikipedia;https://eu.wikipedia.org/wiki/Fusti%C3%B1ana;MikelBa;
Biztanleria;Zenbat biztanle ditu Uztarroze udalerriak?;https://upload.wikimedia.org/wikipedia/commons/b/b6/Uztarroze01.jpg;151;6926;15;Wikipedia;https://eu.wikipedia.org/wiki/Uztarroze;MikelBa;
Biztanleria;Zenbat biztanle ditu Getxo udalerriak?;https://upload.wikimedia.org/wikipedia/commons/1/1e/VistaEreaga.jpg;77946;7567;5484;Wikipedia;https://eu.wikipedia.org/wiki/Getxo;MikelBa;
Biztanleria;Zenbat biztanle ditu Mendaro udalerriak?;https://upload.wikimedia.org/wikipedia/commons/2/24/Mendaro_1.JPG;1999;967;3750;Wikipedia;https://eu.wikipedia.org/wiki/Mendaro;MikelBa;
Biztanleria;Zenbat biztanle ditu Beriain udalerriak?;https://upload.wikimedia.org/wikipedia/commons/2/28/Beri%C3%A1in%2C_Navarra.jpg;4069;725;26412;Wikipedia;https://eu.wikipedia.org/wiki/Beriain;MikelBa;
Biztanleria;Zenbat biztanle ditu Aranaratxe udalerriak?;https://upload.wikimedia.org/wikipedia/commons/0/07/Aranaratxeko_pilotalekua_eta_eliza%2C_Ameskoa_Harana%2C_Nafarroa%2C_Euskal_Herria._2015-05-07.jpg;72;7744;110;Wikipedia;https://eu.wikipedia.org/wiki/Aranaratxe;MikelBa;
Biztanleria;Zenbat biztanle ditu Arrigorriaga udalerriak?;https://upload.wikimedia.org/wikipedia/commons/7/7c/Arrigorriaga_03.JPG;12160;65750;36197;Wikipedia;https://eu.wikipedia.org/wiki/Arrigorriaga;MikelBa;
Biztanleria;Zenbat biztanle ditu Amoroto udalerriak?;https://upload.wikimedia.org/wikipedia/commons/2/24/Amoroto_historikoa_0001.jpg;410;9;445;Wikipedia;https://eu.wikipedia.org/wiki/Amoroto;MikelBa;
Biztanleria;Zenbat biztanle ditu Berastegi udalerriak?;https://upload.wikimedia.org/wikipedia/commons/f/f7/Berastegi%2C_Guip%C3%BAzcoa%2C_Pa%C3%ADs_Vasco.jpg;1076;94;97932;Wikipedia;https://eu.wikipedia.org/wiki/Berastegi;MikelBa;
Biztanleria;Zenbat biztanle ditu Mallabia udalerriak?;https://upload.wikimedia.org/wikipedia/commons/6/69/Mallabia.jpg;1158;640;576;Wikipedia;https://eu.wikipedia.org/wiki/Mallabia;MikelBa;
Biztanleria;Zenbat biztanle ditu Arratzu udalerriak?;https://upload.wikimedia.org/wikipedia/commons/1/19/Arratzu%2C_Euskal_Herria.jpg;418;4917;40;Wikipedia;https://eu.wikipedia.org/wiki/Arratzu;MikelBa;
Biztanleria;Zenbat biztanle ditu Orontze udalerriak?;https://upload.wikimedia.org/wikipedia/commons/2/25/Orontze.jpg;47;2182;28;Wikipedia;https://eu.wikipedia.org/wiki/Orontze;MikelBa;
Biztanleria;Zenbat biztanle ditu Aiara udalerriak?;https://upload.wikimedia.org/wikipedia/commons/c/c2/Kexaa2.JPG;2974;923;7459;Wikipedia;https://eu.wikipedia.org/wiki/Aiara;MikelBa;
Biztanleria;Zenbat biztanle ditu Altzo udalerriak?;https://upload.wikimedia.org/wikipedia/commons/a/aa/Altzo_44.jpg;435;9619;3235;Wikipedia;https://eu.wikipedia.org/wiki/Altzo;MikelBa;
Biztanleria;Zenbat biztanle ditu Leitza udalerriak?;https://upload.wikimedia.org/wikipedia/commons/3/37/Leitza%2C_Euskal_Herria.jpg;2913;33;85831;Wikipedia;https://eu.wikipedia.org/wiki/Leitza;MikelBa;
Biztanleria;Zenbat biztanle ditu Mañueta udalerriak?;https://upload.wikimedia.org/wikipedia/commons/4/42/Iglesia_parroquial_de_Ntra._Sta._de_la_Antigua_-_Ba%C3%B1os_de_Ebro.jpg;291;8649;788;Wikipedia;https://eu.wikipedia.org/wiki/Ma%C3%B1ueta;MikelBa;
Biztanleria;Zenbat biztanle ditu Mutiloa udalerriak?;https://upload.wikimedia.org/wikipedia/commons/d/d2/Mutiloa%2C_Euskal_Herria.JPG;249;420;654;Wikipedia;https://eu.wikipedia.org/wiki/Mutiloa;MikelBa;
Biztanleria;Zenbat biztanle ditu Aiegi udalerriak?;https://upload.wikimedia.org/wikipedia/commons/d/d2/Monasterio_de_Irache%2C_Ayegui._Fachada.jpg;2366;16574;9867;Wikipedia;https://eu.wikipedia.org/wiki/Aiegi;MikelBa;
Biztanleria;Zenbat biztanle ditu Deikaztelu udalerriak?;https://upload.wikimedia.org/wikipedia/commons/8/81/Deikaztelu.jpg;604;1681;397;Wikipedia;https://eu.wikipedia.org/wiki/Deikaztelu;MikelBa;
Biztanleria;Zenbat biztanle ditu Tutera udalerriak?;https://upload.wikimedia.org/wikipedia/commons/d/db/Tudela_view_7755v.jpg;36258;47192;941791;Wikipedia;https://eu.wikipedia.org/wiki/Tutera;MikelBa;
Biztanleria;Zenbat biztanle ditu El Busto udalerriak?;https://upload.wikimedia.org/wikipedia/commons/5/55/El_Busto_01.jpg;56;942;7;Wikipedia;https://eu.wikipedia.org/wiki/El_Busto;MikelBa;
Biztanleria;Zenbat biztanle ditu Sopela udalerriak?;https://upload.wikimedia.org/wikipedia/commons/f/ff/Sopelana_San_Pedro_07.jpg;13878;5057;36226;Wikipedia;https://eu.wikipedia.org/wiki/Sopela;MikelBa;
Biztanleria;Zenbat biztanle ditu Zamudio udalerriak?;https://upload.wikimedia.org/wikipedia/commons/0/0d/PalacioLarragoiti.JPG;3260;91406;216;Wikipedia;https://eu.wikipedia.org/wiki/Zamudio;MikelBa;
Biztanleria;Zenbat biztanle ditu Etxalar udalerriak?;https://upload.wikimedia.org/wikipedia/commons/c/c2/Etxalar.jpg;813;20;2512;Wikipedia;https://eu.wikipedia.org/wiki/Etxalar;MikelBa;
Biztanleria;Zenbat biztanle ditu Izaba udalerriak?;https://upload.wikimedia.org/wikipedia/commons/3/32/VistaDeIsaba2.jpeg;395;70;53;Wikipedia;https://eu.wikipedia.org/wiki/Izaba;MikelBa;
Biztanleria;Zenbat biztanle ditu Legorreta udalerriak?;https://upload.wikimedia.org/wikipedia/commons/6/6b/Legorreta%2C_Euskal_Herria.JPG;1417;54455;93295;Wikipedia;https://eu.wikipedia.org/wiki/Legorreta;MikelBa;
Biztanleria;Zenbat biztanle ditu Okondo udalerriak?;https://upload.wikimedia.org/wikipedia/commons/d/d7/Okondoko_udaletxea.jpg;1188;29901;93550;Wikipedia;https://eu.wikipedia.org/wiki/Okondo;MikelBa;
Biztanleria;Zenbat biztanle ditu Bergara udalerriak?;https://upload.wikimedia.org/wikipedia/commons/e/ee/Bergara_0001.jpg;14637;18669;1148;Wikipedia;https://eu.wikipedia.org/wiki/Bergara;MikelBa;
Biztanleria;Zenbat biztanle ditu Luzaide udalerriak?;https://upload.wikimedia.org/wikipedia/commons/9/9f/Luzaide_-_centre.jpg;329;745;75;Wikipedia;https://eu.wikipedia.org/wiki/Luzaide;MikelBa;
Biztanleria;Zenbat biztanle ditu Valtierra udalerriak?;https://upload.wikimedia.org/wikipedia/commons/6/6e/Valtierra.jpg;2412;33114;437;Wikipedia;https://eu.wikipedia.org/wiki/Valtierra;MikelBa;
Biztanleria;Zenbat biztanle ditu Munitibar-Arbatzegi-Gerrikaitz udalerriak?;https://upload.wikimedia.org/wikipedia/commons/8/83/Matxinena_baserria%2C_Munitibar-Arbatzegi-Gerrikaitz%2C_Lea-Artibai%2C_Bizkaia%2C_Euskal_Herria._2015-05-28.jpg;468;368;52;Wikipedia;https://eu.wikipedia.org/wiki/Munitibar-Arbatzegi-Gerrikaitz;MikelBa;
Biztanleria;Zenbat biztanle ditu Erriberagoitia udalerriak?;https://upload.wikimedia.org/wikipedia/commons/6/6a/Erriberagoitiko_udaletxea.jpg;785;3424;65;Wikipedia;https://eu.wikipedia.org/wiki/Erriberagoitia;MikelBa;
Biztanleria;Zenbat biztanle ditu Ondarroa udalerriak?;https://upload.wikimedia.org/wikipedia/commons/8/83/Ondarroa_kantxopi.JPG;8400;2005;339;Wikipedia;https://eu.wikipedia.org/wiki/Ondarroa;MikelBa;
Biztanleria;Zenbat biztanle ditu Urdazubi udalerriak?;https://upload.wikimedia.org/wikipedia/commons/c/c3/Urdazubi-05-03-20.JPG;349;1043;45;Wikipedia;https://eu.wikipedia.org/wiki/Urdazubi;MikelBa;
Biztanleria;Zenbat biztanle ditu Uterga udalerriak?;https://upload.wikimedia.org/wikipedia/commons/7/70/Utergaaerea.jpg;153;940;20;Wikipedia;https://eu.wikipedia.org/wiki/Uterga;MikelBa;
Biztanleria;Zenbat biztanle ditu Baztan udalerriak?;https://upload.wikimedia.org/wikipedia/commons/c/cc/Arizkun.jpg;7777;61553;64322;Wikipedia;https://eu.wikipedia.org/wiki/Baztan;MikelBa;
Biztanleria;Zenbat biztanle ditu Etxebarria udalerriak?;https://upload.wikimedia.org/wikipedia/commons/d/d7/Etxebarria%2C_casa_consistorial.JPG;788;622;55;Wikipedia;https://eu.wikipedia.org/wiki/Etxebarria;MikelBa;
Biztanleria;Zenbat biztanle ditu Aria udalerriak?;https://upload.wikimedia.org/wikipedia/commons/e/ee/Horreo.Casa.Etxeberri.JPG;51;67;25;Wikipedia;https://eu.wikipedia.org/wiki/Aria;MikelBa;
Biztanleria;Zenbat biztanle ditu Martzilla udalerriak?;https://upload.wikimedia.org/wikipedia/commons/b/b2/Marcilla_-_Plaza_de_Espa%C3%B1a_-_DSC_1040.JPG;2858;453;1479;Wikipedia;https://eu.wikipedia.org/wiki/Martzilla;MikelBa;
